SHG_Name,Date_of_Establishment,Number_of_Members,Sector,Annual_Revenue,Annual_Profit,Expenses,Loan_Amount,Loan_Repayment_Status,Projects_Completed,Success_Rate,Geographical_Area,Market_Reach,Training_Programs_Attended,Community_Impact,Awards_Recognitions,Economic_Conditions,Government_Support,Market_Trends,Credit_Score
SHG_0,2000-01-31,48,Services,33930,4564,42650,14933,Pending,1,0.8153502355793925,Rural,Regional,0,Medium,None,Poor,High,Downward,2
SHG_1,2000-02-29,38,Services,10077,2389,11012,10473,Default,10,0.7748031342653783,Rural,Regional,8,Low,Local,Good,Low,Upward,2
SHG_2,2000-03-31,24,Handicrafts,30611,12593,12151,19033,Pending,15,0.8448894246240606,Rural,Local,5,High,None,Average,Low,Downward,4
SHG_3,2000-04-30,17,Services,26984,8274,33211,10805,Pending,11,0.5719709567861154,Rural,National,1,High,None,Poor,High,Upward,2
SHG_4,2000-05-31,30,Agriculture,24060,18208,32117,3083,Paid,13,0.797679830629302,Rural,National,4,Low,Local,Average,Medium,Upward,3
SHG_5,2000-06-30,48,Agriculture,92985,19649,41378,17421,Paid,5,0.5860553014113888,Urban,Regional,3,Low,National,Poor,Medium,Upward,7
SHG_6,2000-07-31,28,Services,94056,18320,47652,13944,Paid,1,0.9627611039259405,Rural,Local,6,High,National,Poor,Low,Stable,7
SHG_7,2000-08-31,32,Agriculture,53303,11745,11894,19873,Paid,12,0.5341670524228022,Rural,National,7,Low,National,Good,High,Downward,5
SHG_8,2000-09-30,20,Services,69207,15199,18467,7604,Paid,11,0.7151873748453966,Rural,Regional,0,High,Local,Poor,Medium,Stable,7
SHG_9,2000-10-31,20,Agriculture,85046,16876,36010,15379,Paid,17,0.8478987388277224,Rural,National,4,Medium,National,Average,High,Downward,7
SHG_10,2000-11-30,33,Agriculture,39287,19180,47641,19018,Paid,4,0.7290111058341293,Urban,National,2,High,None,Good,Medium,Downward,3
SHG_11,2000-12-31,45,Services,49711,9245,17289,3983,Default,15,0.5460476266164511,Urban,Local,0,Medium,National,Average,High,Downward,5
SHG_12,2001-01-31,49,Agriculture,21954,8214,49976,1778,Default,9,0.7766895080633537,Urban,Local,2,Low,Local,Poor,Low,Stable,1
